,id,name,path,url
0,gjwy8,7_Bauder_Data-literacy-as-critical-information-literacy.pdf,/Poster presentations/7_Bauder_Data-literacy-as-critical-information-literacy.pdf,https://osf.io/gjwy8
1,pwv2d,1_Smith-and-Davis_Escape-data-horror_Creating-innovative-ways-to-teach-RDM.pdf,/Poster presentations/1_Smith-and-Davis_Escape-data-horror_Creating-innovative-ways-to-teach-RDM.pdf,https://osf.io/pwv2d
2,rtz7y,5_Castro-et-al_dLOC-as-data.pdf,/Poster presentations/5_Castro-et-al_dLOC-as-data.pdf,https://osf.io/rtz7y
3,uc5j2,2_Mckenna-Foster_ETData.pdf,/Poster presentations/2_Mckenna-Foster_ETData.pdf,https://osf.io/uc5j2
4,vgfu8,4_Klein-Carlton_iNaturalist-for-data-literacy.pdf,/Poster presentations/4_Klein-Carlton_iNaturalist-for-data-literacy.pdf,https://osf.io/vgfu8
5,rkn2w,6-Holsapple_Data-sharing-for-Masters-theses.pdf,/Poster presentations/6-Holsapple_Data-sharing-for-Masters-theses.pdf,https://osf.io/rkn2w
6,bwqfm,9-Kechner_Propel-UVA-library-working-with-career-services.pdf,/Poster presentations/9-Kechner_Propel-UVA-library-working-with-career-services.pdf,https://osf.io/bwqfm
7,z49xu,8_Dolan_Visualizing_Global_Tweet_Activity_for_NIH_Covid-19_Preprint.pdf,/Poster presentations/8_Dolan_Visualizing_Global_Tweet_Activity_for_NIH_Covid-19_Preprint.pdf,https://osf.io/z49xu
8,9wjkn,3_Jones-Parker_Analyzing-UVA-Health-Publications.pdf,/Poster presentations/3_Jones-Parker_Analyzing-UVA-Health-Publications.pdf,https://osf.io/9wjkn
9,n5723,Rockwell - Public Interest Data Literacy (PIDLit)_ Empowering First-Year Students with Data Skills.pdf,/Presentation slides/Day 2 20211014/Rockwell - Public Interest Data Literacy (PIDLit)_ Empowering First-Year Students with Data Skills.pdf,https://osf.io/n5723
